Muscle Group;Exercise;Reps;Sets
Chest;BENCH_PRESS;55;6
Core;SIT_UP;12;1
Back;LATERAL_RAISE;8;1
Chest;FLYE;20;2
Undefined;UNKNOWN;12;2
Chest;BENCH_PRESS;25;3
Legs;SQUAT;55;4
Chest;BENCH_PRESS;16;2
Core;SIT_UP;33;4
Chest;PUSH_UP;45;3
Back;LATERAL_RAISE;34;4
Arms;CURL;51;4
Arms;TRICEPS_EXTENSION;15;1
Undefined;UNKNOWN;46;3
Back;ROW;41;4
Legs;SQUAT;8;1
Chest;BENCH_PRESS;31;5
Chest;PUSH_UP;32;3
Back;LATERAL_RAISE;18;2
Arms;CURL;25;3
Chest;FLYE;25;4
Back;ROW;56;5
Undefined;UNKNOWN;13;2
Legs;SQUAT;22;2
Chest;BENCH_PRESS;27;3
Core;SIT_UP;5;1
Back;PULL_UP;28;3
Chest;FLYE;5;1
Undefined;UNKNOWN;11;1
Back;ROW;5;1
Legs;SQUAT;39;3
Chest;BENCH_PRESS;39;5
Core;SIT_UP;49;4
Back;LATERAL_RAISE;52;4
Chest;FLYE;9;1
Back;ROW;33;4
Chest;BENCH_PRESS;43;4
Core;SIT_UP;10;1
Arms;CURL;14;1
Back;LATERAL_RAISE;18;2
Chest;FLYE;19;3
Back;ROW;69;5
Undefined;UNKNOWN;11;2
Legs;SQUAT;64;5
Back;DEADLIFT;6;1
Chest;BENCH_PRESS;44;5
Back;ROW;39;3
